date,temp_meteostat,temp_min_meteostat,temp_max_meteostat,humidity_meteostat,precipitation_meteostat,snow_depth_meteostat,wind_speed_meteostat,wind_gust_meteostat,pressure_meteostat,sunshine_meteostat,cloud_cover_meteostat
2025-05-16,33.6,29.4,39.0,33,0.0,,12.4,,1005.5,,0
2025-05-17,30.9,26.5,35.8,61,0.0,,16.4,,1004.2,,0
2025-05-18,31.2,25.9,36.0,52,0.0,,12.4,,1004.4,,0
2025-05-19,32.2,27.9,37.9,57,0.0,,11.5,,1002.5,,0
2025-05-20,34.0,28.8,38.6,56,0.0,,10.9,,1001.5,,0
2025-05-21,34.5,29.2,43.1,48,0.0,,11.4,,1000.8,,0
2025-05-22,36.2,29.0,43.9,48,0.0,,11.9,,999.8,,0
2025-05-23,38.2,32.8,47.0,26,0.0,,11.6,,997.4,,0
2025-05-24,38.6,33.0,46.5,24,0.0,,11.4,,996.5,,0
2025-05-25,36.6,31.0,45.7,35,0.0,,14.0,,997.6,,0
2025-05-26,37.2,30.6,45.8,39,0.0,,15.1,,1000.0,,0
2025-05-27,34.5,31.0,37.0,42,0.0,,14.8,,1000.0,,0
2025-05-28,33.6,28.8,38.6,50,0.0,,14.1,,999.5,,0
2025-05-29,35.8,29.5,44.4,43,0.0,,12.7,,998.9,,0
2025-05-30,35.6,30.4,42.6,40,0.0,,12.8,,998.7,,0
2025-05-31,34.0,29.0,39.0,52,0.0,,15.5,,1000.4,,0
2025-06-01,32.9,28.0,37.6,52,0.0,,12.5,,1002.1,,0
2025-06-02,34.6,29.8,41.8,46,0.0,,11.3,,1000.1,,0
2025-06-03,32.9,27.8,40.1,61,0.0,,12.7,,998.5,,0
2025-06-04,31.9,27.8,37.2,65,0.0,,15.9,,999.4,,0
2025-06-05,31.8,26.7,39.7,58,0.0,,14.8,,1002.0,,0
2025-06-06,31.1,26.6,36.4,58,0.0,,14.6,,1004.9,,0
2025-06-07,32.3,27.6,37.0,65,0.0,,14.6,,1005.2,,0
2025-06-08,33.4,30.7,39.1,64,0.0,,14.4,,1004.6,,0
2025-06-09,36.1,31.0,41.0,46,0.0,,15.0,,1004.4,,0
2025-06-10,37.5,32.0,43.0,37,0.0,,13.6,,1002.5,,0
2025-06-11,37.7,32.8,42.2,30,0.0,,13.6,,1001.9,,0
2025-06-12,38.2,33.0,44.3,32,0.0,,12.5,,1001.3,,0
2025-06-13,37.5,34.0,43.0,36,0.0,,12.0,,1000.6,,0
