location_id,location_name,timezone,country_code,sensor_id,sensor_name,parameter,parameter_source_name,units,period_label,date_local_start,date_local_end,date_utc_start,date_utc_end,value,summary_min,summary_max,summary_median,coverage_expected_count,coverage_observed_count,coverage_percent_complete,coverage_percent_coverage
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-26T00:00:00+04:00,2024-09-27T00:00:00+04:00,2024-09-25T20:00:00Z,2024-09-26T20:00:00Z,95.5,73.85416793823242,122.06666628519694,94.59583314259848,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-27T00:00:00+04:00,2024-09-28T00:00:00+04:00,2024-09-26T20:00:00Z,2024-09-27T20:00:00Z,85.8,67.76250012715657,103.33750089009602,87.56666723887126,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-28T00:00:00+04:00,2024-09-29T00:00:00+04:00,2024-09-27T20:00:00Z,2024-09-28T20:00:00Z,76.1,63.516666094462074,115.78333282470703,70.106250445048,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-29T00:00:00+04:00,2024-09-30T00:00:00+04:00,2024-09-28T20:00:00Z,2024-09-29T20:00:00Z,40.8,14.28333338101705,87.5166670481364,24.306249856948853,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-09-30T00:00:00+04:00,2024-10-01T00:00:00+04:00,2024-09-29T20:00:00Z,2024-09-30T20:00:00Z,23.0,10.950000047683716,34.51666704813639,24.3354164759318,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-01T00:00:00+04:00,2024-10-02T00:00:00+04:00,2024-09-30T20:00:00Z,2024-10-01T20:00:00Z,20.5,6.299999952316284,34.18333371480306,20.864583253860474,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-02T00:00:00+04:00,2024-10-03T00:00:00+04:00,2024-10-01T20:00:00Z,2024-10-02T20:00:00Z,25.3,8.50000003973643,37.645833333333336,28.61666663487752,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-03T00:00:00+04:00,2024-10-04T00:00:00+04:00,2024-10-02T20:00:00Z,2024-10-03T20:00:00Z,35.7,27.741666793823242,45.98333326975504,33.731250047683716,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-04T00:00:00+04:00,2024-10-05T00:00:00+04:00,2024-10-03T20:00:00Z,2024-10-04T20:00:00Z,39.9,4.3166666229565935,53.524999936421715,46.583333015441895,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-05T00:00:00+04:00,2024-10-06T00:00:00+04:00,2024-10-04T20:00:00Z,2024-10-05T20:00:00Z,16.2,2.879166622956594,33.81666644414266,16.75416672229767,24,20,83.0,83.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-06T00:00:00+04:00,2024-10-07T00:00:00+04:00,2024-10-05T20:00:00Z,2024-10-06T20:00:00Z,32.4,24.59166685740153,45.93333307902018,33.379167238871254,24,19,79.0,79.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-07T00:00:00+04:00,2024-10-08T00:00:00+04:00,2024-10-06T20:00:00Z,2024-10-07T20:00:00Z,25.7,6.200000007947286,55.774999936421715,21.825000047683716,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-08T00:00:00+04:00,2024-10-09T00:00:00+04:00,2024-10-07T20:00:00Z,2024-10-08T20:00:00Z,20.4,6.649999976158142,30.233333269755047,21.833333333333332,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-09T00:00:00+04:00,2024-10-10T00:00:00+04:00,2024-10-08T20:00:00Z,2024-10-09T20:00:00Z,31.4,9.65416685740153,97.58333333333333,19.495833237965904,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-10T00:00:00+04:00,2024-10-11T00:00:00+04:00,2024-10-09T20:00:00Z,2024-10-10T20:00:00Z,57.8,44.05416711171468,68.92499987284343,58.83333365122478,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-11T00:00:00+04:00,2024-10-12T00:00:00+04:00,2024-10-10T20:00:00Z,2024-10-11T20:00:00Z,62.4,50.233333587646484,72.22916666666667,63.064582983652755,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-12T00:00:00+04:00,2024-10-13T00:00:00+04:00,2024-10-11T20:00:00Z,2024-10-12T20:00:00Z,55.3,40.941667238871254,72.03333282470703,51.45833317438762,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-13T00:00:00+04:00,2024-10-14T00:00:00+04:00,2024-10-12T20:00:00Z,2024-10-13T20:00:00Z,54.7,43.69166660308838,67.18333371480306,56.14375003178914,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-14T00:00:00+04:00,2024-10-15T00:00:00+04:00,2024-10-13T20:00:00Z,2024-10-14T20:00:00Z,47.1,23.187500317891438,74.31666692097981,41.830555518468216,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-15T00:00:00+04:00,2024-10-16T00:00:00+04:00,2024-10-14T20:00:00Z,2024-10-15T20:00:00Z,33.2,20.391666412353516,47.69999980926514,34.82083320617676,24,24,100.0,100.0
2981155,The Views,Asia/Dubai,AE,10071467,pm10 µg/m³,pm10,pm10,µg/m³,1day,2024-10-16T00:00:00+04:00,2024-10-17T00:00:00+04:00,2024-10-15T20:00:00Z,2024-10-16T20:00:00Z,19.9,2.2458333472410836,32.04166682561239,23.32291658719381,24,24,100.0,100.0
